[0.00 - 5.74]  Applause
[254.40 - 255.24]  Thank you very much
[255.24 - 256.28]  Want to talent?
[256.28 - 258.24]  What a beautiful, beautiful soul
[258.24 - 259.24]  Thank you
[260.22 - 264.26]  Friends, delegates and fellow citizens
[264.26 - 270.24]  I stand before you this evening
[270.24 - 274.00]  With a message of confidence, strings and hope
[274.00 - 282.40]  an incredible victory, and we will begin the four greatest years in the history of our country.
[286.56 - 293.04]  Together, we will launch a new era of safety, prosperity, and freedom for citizens of every race,
[293.04 - 301.20]  religion, color and creed. The discord and division in our society must be healed. We must heal
[301.20 - 309.52]  it quickly. As Americans, we are bound together by a single fate and a shared destiny. We rise
[309.52 - 319.36]  together or we fall apart. I am running to be President for all of America, not half of America,
[320.00 - 325.28]  because there is no victory in winning for half of America.
[325.28 - 336.80]  So tonight, with faith and devotion, I proudly accept your nomination for President of the United States.
[355.28 - 361.28]  Thank you very much.
[376.00 - 380.32]  Thank you very much, and we will do it right.
[380.96 - 388.80]  I'm going to do it right. Let me begin this evening by expressing my gratitude to the American people
[389.44 - 397.04]  for your outpouring of love and support following the assassination attempt at my rally on Saturday.
[397.68 - 410.24]  As you already know, the assassins bullet came within a quarter of an inch of taking my life.
[411.60 - 416.08]  So many people have asked me what happened. Tell us what happened, please.
[417.12 - 423.60]  And therefore I will tell you exactly what happened, and you'll never hear it from me a second time
[423.60 - 434.16]  because it's actually too painful to tell. It was a warm, beautiful day in the early evening
[434.96 - 439.44]  in Butler Township in the great Commonwealth of Pennsylvania.
[443.12 - 451.60]  Music was loudly playing, and the campaign was doing really well. I went to the stage and the crowd
[452.40 - 461.36]  was cheering wildly. Everybody was happy. I began speaking very strongly powerfully and happily
[463.44 - 470.56]  because I was discussing the great job my administration did on immigration at the southern border.
[471.12 - 472.40]  We were very proud of it.
[472.80 - 488.40]  Behind me and to the right was a large screen that was displaying a chart of border crossings under
[488.40 - 499.84]  my leadership. The numbers were absolutely amazing. In order to see the chart, I started to, like this,
[500.00 - 512.64]  turn to my right and was ready to begin a little bit further turn, which I'm very lucky I didn't do.
[513.52 - 523.84]  When I heard a loud whizzing sound and felt something hit me really, really hard on my right ear,
[523.84 - 535.92]  I said to myself, wow, what was that? It can only be a bullet and moved my right hand to my ear,
[535.92 - 543.52]  brought it down. My hand was covered with blood, just absolutely blood all over the place.
[544.72 - 552.08]  I immediately knew it was very serious that we were under attack and in one movement proceeded to
[552.08 - 563.04]  drop to the ground. Bullets were continuing to fly as very brave, secret service agents rushed
[563.04 - 566.32]  to the stage and they really did, they rushed to this stage.
[566.32 - 584.96]  There was a great people at great risk, I will tell you, and pounced on top of me so that I would be
[584.96 - 592.32]  protected. There was blood pouring everywhere and yet in a certain way I felt very safe because
[593.04 - 605.28]  I had God on my side. I felt that.
[611.12 - 619.04]  The amazing thing is that prior to the shot, if I had not moved my head at that very last instant,
[620.00 - 628.00]  the assassins bullet would have perfectly hit its mark and I would not be here tonight, we would
[628.00 - 635.60]  not be together. The most incredible aspect of what took place on that terrible evening in the
[635.60 - 646.32]  fading sun was actually seen later in almost all cases as you probably know and when even a single
[646.40 - 652.00]  bullet is fired, just a single bullet and we had many bullets that were being fired.
[652.72 - 658.96]  Crouch run for the exits were stamped but not in this case, it's very unusual.
[665.68 - 671.68]  This massive crowd of tens of thousands of people stood by and didn't move an inch.
[672.64 - 678.40]  In fact, many of them bravely but automatically stood up looking for where the sniper would be,
[678.40 - 684.80]  they knew immediately it was a sniper and then began pointing at him. You can see that if you
[684.80 - 689.92]  look at the group behind me, that was just a small group compared to what was in front.
[691.12 - 698.56]  Nobody ran and by not stampeding, many lives were saved but that isn't the reason.
[702.24 - 708.08]  That they didn't move. The reason is that they knew I was in very serious trouble. They saw it,
[708.08 - 717.04]  they saw me go down, they saw the blood and thought actually most did, that I was dead.
[718.00 - 724.00]  They knew it was a shot to the head, they saw the blood and there's an interesting statistic. The
[724.00 - 730.24]  ears are the bloodiest part, something happens with the ears. They bleed more than any other part of
[730.24 - 735.76]  the body for whatever reason. The doctors told me that life said why is there so much blood? He
[735.76 - 745.44]  said it's the ears. They bleed more so we learned something but they just, they just,
[745.44 - 749.20]  this beautiful crowd, they didn't want to leave me. They knew I was in trouble, they didn't want
[749.20 - 754.00]  to leave me and you can see that love written all over their faces.
[754.96 - 763.12]  Incredible people. They're incredible people. Bullets were flying over us,
[764.16 - 770.72]  yet I felt serene but now the secret service agents were putting themselves in peril. They were
[770.72 - 777.68]  in very dangerous territory. Bullets were flying right over and missing them by a very small amount
[777.92 - 789.12]  of inches and then it all stopped. Our secret service sniper from a much greater distance and with
[789.12 - 795.84]  only one bullet used took the assassin's life, took him out.
[795.84 - 804.16]  I'm not supposed to be here tonight.
[826.56 - 837.92]  Thank you. But I'm not and I'll tell you I stand before you in this arena only by the grace
[838.72 - 842.96]  of Almighty God.
[843.12 - 858.08]  In watching the reports over the last few days many people say it was a providential moment.
[859.04 - 865.60]  Probably was. When I rose surrounded by secret service, the crowd was confused because they
[865.60 - 871.04]  thought I was dead and there was great, great sorrow. I could see that on their faces as I looked
[871.04 - 877.36]  at. They didn't know I was looking at. They thought it was over but I could see it. I
[878.56 - 884.24]  wanted to do something to let them know I was okay. I raised my right arm, looked at the
[884.24 - 893.04]  thousands and thousands of people that were breathlessly waiting and started shouting, fight, fight, fight.
[901.60 - 913.12]  Thank you. Once my clenched fist went up and it was high into the air you've all seen that
[914.48 - 923.44]  the crowd realized I was okay and roared with pride for our country like no crowd I have ever heard
[923.44 - 936.64]  before. Never heard anything like. For the rest of my life I will be grateful for the love shown
[936.64 - 944.40]  by that giant audience of patriots that stood bravely on that fateful evening in Pennsylvania.
[944.72 - 951.60]  Tragically the shooter claimed the life of one of our fellow Americans, Corey,
[952.80 - 957.04]  Comparator, unbelievable person, everybody tells me.
[960.00 - 969.36]  Unbelievable. And seriously wounded two other great warriors spoke to them today.
[969.52 - 981.60]  David Dutch and James Copenhaver, who great people. I also spoke to all three families of these
[981.60 - 988.24]  tremendous people. Our love and prayers are with them and always will be we're never going to
[988.24 - 994.24]  forget them. They came for a great rally. They were serious drumsters I want to tell you. They were
[994.24 - 1000.64]  serious drumsters and still are but Corey unfortunately we have to use the past tense he was incredible.
[1001.60 - 1007.20]  He was a highly respected former fire chief respected by everybody was accompanied by his
[1008.32 - 1016.72]  wife Helen, credible woman I spoke to today devastated and two precious daughters. He lost his life
[1016.72 - 1022.16]  selflessly acting as a human shield to protect them from flying bullets he went right over the
[1022.16 - 1026.08]  top of them and was hit. What a fine man he was.
[1052.16 - 1082.08]  I want to thank the fire department and the family for sending his helmet his outfit
[1082.16 - 1088.40]  and it was just something and they're going to do something very special when they get it but we
[1088.40 - 1094.08]  did something which cannot match what happened not even close but I am very proud to say that over
[1094.08 - 1110.00]  the past few days we've raised $6.3 million for the families of David, James and Corey
[1110.80 - 1115.92]  including from a friend of mine just called up he sent me a check right here I just got it
[1116.80 - 1123.04]  $1 million from Dan Nul and thank you Dan.
[1126.96 - 1132.24]  And again when speaking to the family I told them I said well I'm going to be sending you a lot
[1132.24 - 1137.92]  of money but I can't compensate they all said the same thing you're right sir we appreciate so much
[1137.92 - 1144.00]  what you're doing but nothing can take the place in the case of Corey and the other two by the way
[1144.00 - 1148.56]  they were very very seriously injured but now they're doing very well they're going to be okay.
[1150.16 - 1151.44]  They're going to be doing very well.
[1156.88 - 1167.12]  They're warriors so now I ask that we observe a moment of silence in honor of our friend Corey.
[1168.08 - 1191.68]  There is no greater love than to lay down one's life for others. This is the spirit that forged
[1191.68 - 1198.56]  America in her darkest hours and this is the love that will lead America back to the summit of
[1198.56 - 1206.16]  human achievement and greatness this is what we need despite such a heinous attack we unite
[1206.16 - 1212.48]  this evening more determined than ever I am more determined than ever and so are you so is everybody
[1221.84 - 1230.24]  thank you thank you very much
[1241.04 - 1246.88]  our resolve is unbroken and our purpose is unchanged to deliver a government that serves the
[1246.88 - 1254.08]  American people better than ever before nothing will stop me in this mission because our vision
[1254.08 - 1261.52]  is righteous and our cars is pure no matter what obstacle comes our way we will not break we will
[1261.52 - 1269.36]  not bend we will not back down and I will never stop fighting for you your family and our magnificent
[1269.36 - 1271.68]  country never
[1277.20 - 1285.76]  and everything I have to give with all of the energy and fight in my heart and soul I pledge to
[1286.48 - 1290.16]  our nation tonight thank you very much I pledge that to our nation
[1291.52 - 1294.96]  going to turn our nation around and we're going to do it very quickly thank you
[1295.12 - 1309.76]  this election should be about the issues facing our country and how to make America successful safe
[1309.76 - 1311.28]  free and great again
[1317.76 - 1324.16]  in an age when our politics too often divide us now is the time to remember that we are all
[1324.16 - 1331.20]  fellow citizens we are one nation under God indivisible with liberty and justice for all
[1341.28 - 1347.84]  and we must not criminalize dissent or demonize political disagreement which is what's been
[1347.84 - 1354.32]  happening in our country lately at a level that nobody has ever seen before in that spirit the
[1354.32 - 1360.24]  Democrat Party should immediately stop weaponizing the justice system and labeling their political
[1360.24 - 1372.96]  opponent as an enemy of democracy especially since that is not true in fact I am the one
[1372.96 - 1376.00]  saving democracy for the people of our country
[1384.88 - 1391.92]  and very big news as you probably just read when one day a major ruling was handed down from a
[1392.64 - 1400.40]  highly respected federal judge in Florida Eileen Cannon finding that the prosecutor and the fake
[1400.40 - 1409.60]  documents case against me were totally unconstitutional and the entire case was thrown out of court
[1411.12 - 1414.48]  with all of that publicity thrown out of court
[1418.88 - 1425.12]  if Democrats want to unify our country they should drop these partners in witch hunts which I
[1425.12 - 1431.28]  have been going through for approximately eight years and they should do that without delay and
[1431.28 - 1435.92]  allow an election to proceed that is worthy of our people we're going to win it anyway
[1437.28 - 1447.36]  but worthy of our people on this journey I am deeply honored to be joined by my amazing wife
[1447.68 - 1448.88]  Melania
[1448.88 - 1473.04]  And, Melania, thank you very much.
[1473.04 - 1479.96]  You also did something really beautiful, a letter to America calling for national unity,
[1479.96 - 1482.96]  and it really took the Republican Party by surprise.
[1482.96 - 1484.48]  I will tell you, it was beautiful.
[1484.48 - 1500.32]  For some very serious people said that we should take that letter and put it as part of the
[1500.32 - 1501.32]  Republican platform.
[1501.32 - 1504.12]  That would be an honor, wouldn't it?
[1504.12 - 1505.12]  Right?
[1505.12 - 1508.28]  Mr. Congressman?
[1508.28 - 1516.44]  But it captivated so many, so I also want to thank my entire family for being here Don Kimberly,
[1516.44 - 1530.60]  Ivanka and Jared, Eric and Lara, Tiffany and Michael, and Baron, we love our Baron.
[1530.60 - 1546.72]  And of course, my 10 wonderful grandchildren, you saw a few of them up there on my lap before.
[1546.72 - 1547.72]  And how good was Dana?
[1547.72 - 1548.72]  Was Dana good?
[1548.72 - 1550.88]  I mean, was he good?
[1550.88 - 1560.16]  You know, he was on probably the only vacation he's had in about maybe ever, because he works,
[1560.16 - 1563.40]  about 10 years with his wife very far away.
[1563.40 - 1567.28]  I won't tell you where, but very, very far away, beautiful place.
[1567.28 - 1570.52]  And my people called and he said, yeah, I won't be able to do it.
[1570.52 - 1574.32]  This is many, many years, I promised my wife I can't do it.
[1574.32 - 1578.64]  And they came and they said, Dana won't be able to do it, because he was my first second
[1578.64 - 1581.28]  and third choice.
[1581.28 - 1586.32]  I said, well, you know, that's too bad, but I understand he's away and that's good, it's
[1586.32 - 1588.08]  good for him.
[1588.08 - 1593.24]  And that was it, about 30 minutes later, she came back in, sir, Dana just called, he's
[1593.24 - 1595.20]  going to do it.
[1595.20 - 1600.32]  And his wife, she said, you can't turn him down, you just can't do it, you have to go.
[1600.32 - 1604.52]  That's a good wife.
[1604.52 - 1615.00]  So he got on a plane, he got here a little while ago, now he's going to get on the plane
[1615.00 - 1619.32]  and a little while and he's going to go back home to his wife, but they're great.
[1619.32 - 1624.16]  And I just want to thank her and him and their whole family because that's not easy.
[1624.16 - 1625.88]  And Kid Rock, same thing.
[1625.88 - 1626.88]  Call, he said.
[1626.88 - 1631.72]  He said, I want to be a part of it.
[1631.72 - 1636.96]  I want to be a part because you know, kid does his great song, big, big monster song.
[1636.96 - 1642.84]  I had no idea, you know, he became a friend of mine over the last 10 years and he's amazing.
[1642.84 - 1643.84]  Everyone loves him.
[1643.84 - 1644.84]  He didn't even know how big he was.
[1644.84 - 1651.12]  You know, he has rallies, 35, 40,000 people he gets every time he goes out.
[1651.12 - 1654.40]  I think he's making so much money, he doesn't know what the hell to do with it, you want
[1654.40 - 1658.80]  to know.
[1658.80 - 1662.92]  And then we have my other friend and I've known him so long and we took that song and it
[1662.92 - 1665.80]  was a big success, but we made that.
[1665.80 - 1669.00]  I saw a chart of great songs to America.
[1669.00 - 1672.00]  That was number one on the chart recently, number one.
[1673.00 - 1677.00]  Let's see Greenwood, a very special, beautiful person.
[1677.00 - 1679.00]  He's a beautiful man.
[1682.00 - 1685.00]  But they all wanted to be here, they called.
[1685.00 - 1686.00]  And how about the Hulkster?
[1686.00 - 1688.00]  How good was he?
[1688.00 - 1689.00]  He's here.
[1689.00 - 1691.00]  He's here.
[1691.00 - 1693.00]  Boy, oh boy.
[1702.00 - 1706.00]  You know, they may call it, they may call that entertainment.
[1706.00 - 1712.36]  I know about entertainment, but when he used to lift a 350 pound man over his shoulders
[1712.36 - 1718.28]  and then bench press him, two rows into the audience, I said, maybe entertainment, but
[1718.28 - 1720.04]  he is one strong son of a gun.
[1720.04 - 1722.76]  I'm going to tell you, I watched it many times.
[1722.76 - 1726.92]  There are a lot of entertainers that can do that, right?
[1726.92 - 1728.48]  You were fantastic.
[1728.48 - 1730.76]  Thank you very much.
[1731.76 - 1734.76]  What was that all about?
[1734.76 - 1735.76]  Boy, that was good.
[1735.76 - 1737.76]  I didn't want to really come up here.
[1737.76 - 1742.56]  But he was so great and he's such a good young man.
[1742.56 - 1744.56]  He went through a lot of trouble.
[1744.56 - 1746.56]  And Don last night was incredible.
[1746.56 - 1747.96]  They went through so much trouble.
[1747.96 - 1752.00]  They got subpoenaed more than any people probably in the history of the United States.
[1752.00 - 1758.20]  Every week they get another subpoena from the Democrats, crazy Nancy Pelosi, the whole
[1758.20 - 1759.20]  thing.
[1759.20 - 1765.16]  Boom, boom, boom.
[1765.16 - 1768.96]  They've got to stop that because they're destroying our country.
[1768.96 - 1774.40]  We have to work on making America great again, not on beating people.
[1774.40 - 1775.40]  And we won.
[1775.40 - 1776.40]  We beat them in all.
[1776.40 - 1777.40]  We beat them on the impeachments.
[1777.40 - 1778.80]  We beat them on indictments.
[1778.80 - 1779.88]  We beat them.
[1779.88 - 1785.92]  But the time that you have to spend, the time that you have to spend, if they would devote
[1785.92 - 1802.24]  that genius to helping our country, we'd have a much stronger and better country.
[1802.24 - 1806.96]  And Jason, the biggest star in country music, Jason.
[1806.96 - 1810.92]  Thank you for being here.
[1810.92 - 1813.56]  Jason, thank you very much.
[1813.56 - 1815.84]  Jason Alden is good.
[1815.84 - 1820.08]  I like his wife even better by the way she's here.
[1820.08 - 1822.40]  Thank you, Jason.
[1822.40 - 1827.64]  But I'm thrilled to have a new friend and partner fighting by my side.
[1827.64 - 1833.68]  The next Vice President of the United States, the current Senator from Ohio, JD Vance,
[1833.68 - 1835.68]  and his incredible wife, Usha.
[1845.84 - 1855.68]  He's going to be a great Vice President.
[1855.68 - 1856.68]  He's going to be great.
[1856.68 - 1861.48]  He'll be with this country and with this movement, greatest movement in the history of our
[1861.48 - 1862.48]  country.
[1862.48 - 1864.20]  Make America great again.
[1864.20 - 1866.88]  When they criticize it, they say, we're going to try and stop, Mag.
[1866.88 - 1869.36]  I said, Mag is make America great again.
[1869.36 - 1870.36]  What are you going to stop?
[1870.36 - 1871.88]  There's nothing to stop.
[1871.88 - 1873.96]  Then they say, oh, that's right.
[1873.96 - 1877.36]  It's very tough to fight it.
[1877.36 - 1880.80]  And all of the people that did try and fight it have failed.
[1880.80 - 1882.92]  But he's going to be with us for a long time.
[1882.92 - 1885.28]  And it was an honor to select him.
[1885.28 - 1886.96]  Great, great student at Yale.
[1886.96 - 1888.64]  His wife was a great student at Yale.
[1888.64 - 1889.64]  They met at Yale.
[1889.64 - 1894.04]  These are two smart people.
[1894.04 - 1896.88]  So JD, you're going to be doing this for a long time.
[1896.88 - 1897.88]  Enjoy the ride.
[1904.96 - 1912.96]  And a very special thank you to the extraordinary people of Milwaukee and the great state of...
[1912.96 - 1917.32]  Oh, there they are.
[1917.32 - 1919.32]  There they are.
[1919.32 - 1920.32]  That's...
[1920.32 - 1924.36]  You are so easy to spot.
[1924.36 - 1926.56]  And Green Bay is going to have a good team this year, right?
[1926.56 - 1929.56]  They're going to have a good team.
[1929.56 - 1932.20]  They're going to have a good team.
[1932.20 - 1934.20]  Most of the audience doesn't like it, but it's true.
[1934.20 - 1937.48]  You're going to have a very good team this year.
[1937.48 - 1946.24]  And by the way, Wisconsin, we are spending over $250 million here, creating jobs and other
[1946.24 - 1949.64]  economic development all over the place.
[1949.64 - 1954.32]  So I hope you will remember this in November and give us your vote.
[1954.32 - 1956.52]  I am trying to buy your vote.
[1956.52 - 1960.64]  I'll be honest about that.
[1960.64 - 1970.24]  And I promise we will make Wisconsin great again.
[1970.24 - 1974.56]  We're going to make it.
[1974.56 - 1976.08]  Thank you, Mr. Governor.
[1976.08 - 1977.08]  Thank you very much.
[1977.08 - 1978.08]  Thank you.
[1978.08 - 1984.28]  I'm here tonight to lay out a vision for the whole nation to every citizen, whether you're
[1984.28 - 1993.12]  a young or old man or woman, Democrat, Republican or independent, Black or white, Asian or Hispanic.
[1993.12 - 1998.32]  I extend to you a hand of loyalty and of friendship.
[1998.32 - 2003.88]  Together we will lead America to new heights of greatness like the world has never seen before.
[2003.88 - 2006.48]  We were right there in the first term.
[2006.48 - 2007.48]  We got hit with COVID.
[2007.48 - 2008.88]  We did a great job.
[2008.88 - 2012.52]  Nobody knew what it was, but nobody's ever seen an economy pre-COVID.
[2012.52 - 2017.96]  And then we handed over a stock market that was substantially higher than just prior to
[2017.96 - 2019.76]  COVID coming in.
[2019.76 - 2020.76]  Did a great job.
[2020.76 - 2021.84]  Never got credit for that.
[2021.84 - 2028.10]  We got credit for the war and defeating ISIS and so many things, the great economy, the
[2028.10 - 2033.80]  biggest tax cuts ever, the biggest regulation cuts ever, the creation of space force, the
[2033.80 - 2035.28]  rebuilding of our military.
[2035.28 - 2037.48]  We did so much.
[2037.48 - 2038.48]  We did so much.
[2038.48 - 2039.96]  Right to try.
[2039.96 - 2041.72]  Right to try is a big deal.
[2042.44 - 2043.68]  We got right to try.
[2043.68 - 2048.32]  They were trying to get that for 52 years.
[2048.32 - 2053.52]  Somebody is terminally ill and hopefully there's nobody in this audience, but it does happen
[2053.52 - 2054.52]  a lot.
[2054.52 - 2059.16]  They're terminally ill and they can't use our new space age drugs and other things that
[2059.16 - 2063.76]  we are way ahead with the greatest doctors in the world, the greatest laboratories in
[2063.76 - 2065.04]  the world and you can't do it.
[2065.04 - 2067.36]  They've been trying to get that approved for 52 years.
[2067.36 - 2068.64]  Was it that easy?
[2068.64 - 2070.48]  The insurance companies didn't want to do it.
[2070.48 - 2071.48]  They didn't want the risk.
[2071.48 - 2074.84]  The labs didn't want to do it because if it didn't work, people are pretty far down the
[2074.84 - 2076.60]  line toward death.
[2076.60 - 2077.96]  They didn't want to do it.
[2077.96 - 2080.00]  The doctors didn't want to have it on their records.
[2080.00 - 2081.56]  So I got everybody in tour office.
[2081.56 - 2082.80]  52 years they tried.
[2082.80 - 2085.20]  Sound simple, but it's not.
[2085.20 - 2090.44]  And I got them to agree that somebody that needs it will instead of going to Asia, Europe
[2090.44 - 2096.12]  or someplace or if you have no money going home and dying, just die.
[2096.12 - 2097.84]  We got them to sign an agreement.
[2097.84 - 2100.08]  They agreed to it where they're not going to do anybody.
[2100.08 - 2101.40]  They're going to get all of this stuff.
[2101.40 - 2102.96]  They're going to get it really fast.
[2102.96 - 2107.80]  And what's happened is we're saving thousands and thousands of lives.
[2107.80 - 2109.20]  It's incredible.
[2109.20 - 2112.44]  Right to try.
[2112.44 - 2115.52]  It's great feeling.
[2115.52 - 2119.56]  Under our leadership, the United States will be respected again.
[2119.56 - 2121.56]  No nation will question our power.
[2121.56 - 2124.08]  No enemy will doubt our might.
[2124.08 - 2126.32]  Our borders will be totally secure.
[2126.32 - 2129.16]  Our economy will soar.
[2129.16 - 2133.52]  We will return law in order to our streets, patriotism to our schools.
[2133.52 - 2141.00]  And importantly, we will restore peace, stability and harmony all throughout the world.
[2141.00 - 2149.20]  But to achieve this future, we must first rescue our nation from failed and even incompetent
[2149.20 - 2150.36]  leadership.
[2150.36 - 2153.56]  We have totally incompetent leadership.
[2153.56 - 2157.88]  This will be the most important election in the history of our country.
[2157.88 - 2164.32]  Under the current administration, we are indeed a nation in decline.
[2164.32 - 2169.36]  We have an inflation crisis that is making life unaffordable, ravaging the incomes of
[2169.36 - 2175.32]  working and low-income families and crushing, just simply crushing our people.
[2175.32 - 2176.32]  Like never before.
[2176.32 - 2178.68]  They've never seen anything like it.
[2178.72 - 2185.16]  We also have an illegal immigration crisis, and it's taking place right now.
[2185.16 - 2191.52]  As we sit here in this beautiful arena, it's a massive invasion at our southern border
[2191.52 - 2198.16]  that has spread misery, crime, poverty, disease and destruction to communities all across
[2198.16 - 2199.16]  our land.
[2199.16 - 2201.36]  Nobody's ever seen anything like it.
[2201.36 - 2208.24]  Then there is an international crisis, the likes of which the world has seldom been part
[2208.24 - 2209.24]  of.
[2209.24 - 2210.56]  Nobody can believe what's happening.
[2210.56 - 2216.32]  War is now raging in Europe in the Middle East, a growing specter of conflict hangs over
[2216.32 - 2222.52]  Taiwan, Korea, the Philippines and all of Asia, and our planet is teetering on the edge
[2222.52 - 2224.92]  of World War III.
[2224.92 - 2227.92]  And this will be a war like no other war because of weaponry.
[2227.92 - 2233.80]  The weapons are no longer army tanks going back and forth, shooting at each other.
[2233.80 - 2238.16]  These weapons are obliteration.
[2238.16 - 2240.04]  It's time for a change.
[2240.04 - 2244.20]  This administration can't come close to solving the problems.
[2244.20 - 2248.48]  We're dealing with very tough, very fierce people.
[2248.48 - 2251.20]  They're fierce people.
[2251.20 - 2253.24]  And we don't have fierce people.
[2253.24 - 2258.76]  We have people that are a lot less than fierce, except when it comes to cheating on elections
[2258.76 - 2260.24]  and a couple of other things.
[2260.24 - 2262.44]  Then they're fierce.
[2262.44 - 2266.20]  Then they're fierce.
[2266.20 - 2272.76]  So tonight, I make this pledge to the great people of America.
[2272.76 - 2277.72]  I will end the devastating inflation crisis immediately, bring down interest rates and
[2277.72 - 2279.72]  lower the cost of energy.
[2279.72 - 2282.72]  We will drill, baby, drill.
[2296.20 - 2309.80]  Can you believe what they're doing?
[2309.80 - 2315.12]  But by doing that, we will lead a large scale decline in prices.
[2315.12 - 2316.92]  Prices will start to come down.
[2316.92 - 2318.32]  Energy raised it.
[2318.32 - 2320.68]  They took our energy policies and destroyed them.
[2320.68 - 2325.64]  Then they immediately went back to them, but by that time, so much was lost.
[2325.64 - 2329.40]  But we will do it at levels that nobody has ever seen before.
[2329.40 - 2331.84]  We'll end lots of different things.
[2331.84 - 2335.04]  We'll start paying off debt and start lowering taxes, even further.
[2335.04 - 2337.44]  We gave you the largest tax cut.
[2337.44 - 2339.40]  We'll do it more.
[2339.40 - 2344.40]  People don't realize our broad taxes weigh down, weigh down.
[2344.40 - 2349.32]  And yet we took in more revenues the following year than we did when the tax rate was much
[2349.32 - 2350.32]  higher.
[2350.32 - 2351.56]  Most people said, how did you do that?
[2351.56 - 2354.20]  Because it was incentive.
[2354.20 - 2355.68]  Everybody was coming to the country.
[2355.68 - 2360.04]  They were bringing back billions and billions of dollars into our country.
[2360.04 - 2362.68]  The companies made it impossible to bring it back.
[2362.68 - 2364.80]  The tax rate was too high.
[2364.80 - 2368.24]  And the legal complications were far too great.
[2368.24 - 2370.92]  I changed both of them.
[2370.92 - 2375.56]  And hundreds of billions of dollars by Apple and so many other companies would brought
[2375.56 - 2377.12]  back into our nation.
[2377.12 - 2382.64]  We had an economy, the likes of which nobody, no nation had ever seen China.
[2382.64 - 2388.44]  We were beating them at levels that were incredible.
[2388.44 - 2389.84]  And they know it.
[2389.84 - 2390.84]  They know it.
[2390.84 - 2393.80]  We'll do it again, but we'll do it even better.
[2393.80 - 2400.12]  I will end the illegal immigration crisis by closing our border and finishing the wall,
[2400.12 - 2402.12]  most of which I've already built.
[2402.12 - 2414.04]  On the wall, we were dealing with a very difficult Congress.
[2414.04 - 2415.72]  And I said, oh, that's okay.
[2415.72 - 2417.00]  We won't go to Congress.
[2417.00 - 2419.04]  I call it an invasion.
[2419.04 - 2422.44]  We gave our military almost $800 billion.
[2422.44 - 2426.56]  I said, I'm going to take a little of that money because this is an invasion.
[2426.56 - 2429.24]  We built most of the wall, it's already built.
[2429.24 - 2434.00]  And we built it through using the funds because what's better than that?
[2434.00 - 2441.76]  We have to stop the invasion into our country that's killing hundreds of thousands of people
[2441.76 - 2442.76]  a year.
[2442.76 - 2448.24]  We're not going to let that happen.
[2448.24 - 2455.20]  I will end every single international crisis that the current administration has created,
[2455.20 - 2460.20]  including the horrible war with Russia and Ukraine, which would have never happened
[2460.20 - 2462.12]  if I was president.
